Feature,Importance
ocu,10.745109558105469
station_netflow_rate,9.495501518249512
is_operating,4.229453086853027
ocu_lag_1,3.927719831466675
ocu_lag_138,2.8223466873168945
is_weekend,2.1355247497558594
station_turnover_rate,1.8254460096359253
is_holiday,1.682518720626831
day_sin,1.451662540435791
ocu_lag_144,1.43916654586792
utm_x,1.295129418373108
time_cos,1.2593566179275513
utm_y,1.2401580810546875
ocu_lag_2,1.2052075862884521
ocu_trend_2,1.2027466297149658
ocu_lag_6,1.0701453685760498
ocu_trend_1,1.0472427606582642
time_sin,0.9949672818183899
day_cos,0.9696493148803711
finance_pois_300m,0.857595682144165
ocu_trend_6,0.8243008852005005
ids_300m,0.8222156167030334
capacity,0.8219135999679565
hotels_pois_300m,0.7906785011291504
food_pois_300m,0.7610581517219543
ids_population_300m,0.7461265921592712
temperature_2m,0.7115013599395752
culture_pois_300m,0.6135655641555786
sport_recreation_pois_300m,0.6127319931983948
drink_pois_300m,0.5946016311645508
ocu_trend_12,0.5747897028923035
ocu_lag_12,0.5737535953521729
transit_stations_300m,0.5714386105537415
rain,0.5692707300186157
health_pois_300m,0.5641374588012695
surface_pressure,0.5580967664718628
transit_nearest_station_m,0.5568362474441528
commerce_pois_300m,0.5454614758491516
relative_humidity_2m,0.5397034883499146
education_pois_300m,0.5093125700950623
wind_speed_10m,0.3828401565551758
cloud_cover,0.3798897862434387
