Horizonte,MAE,RMSE,MAE_bikes,SS
20,0.04151218950669169,0.08074058136876745,1.0777992929611249,0.0
40,0.06252753283013826,0.11242481773298202,1.628461451147258,0.0
60,0.0783930306449465,0.13533760268224093,2.0463219491212796,0.0
