Feature,Coeficiente,Intercepto
ocu,-0.07720185037569992,-2.47881890361218e-06
ocu_lag_1,0.09890819317788999,-2.47881890361218e-06
ocu_lag_2,0.07034896614014749,-2.47881890361218e-06
ocu_lag_6,-0.03574491118249443,-2.47881890361218e-06
ocu_lag_12,-0.0884609496096851,-2.47881890361218e-06
ocu_lag_138,0.03306013801732358,-2.47881890361218e-06
ocu_lag_144,-0.021369887499774493,-2.47881890361218e-06
ocu_trend_1,0.022752483658199235,-2.47881890361218e-06
ocu_trend_2,0.019142758983034466,-2.47881890361218e-06
ocu_trend_6,-0.021240701801584615,-2.47881890361218e-06
ocu_trend_12,-0.06855716783740701,-2.47881890361218e-06
time_sin,-0.0005155000125375062,-2.47881890361218e-06
time_cos,-7.067121573864719e-05,-2.47881890361218e-06
day_sin,-0.0002758250638649425,-2.47881890361218e-06
day_cos,-1.637879422301894e-05,-2.47881890361218e-06
is_weekend,0.00042743888016025385,-2.47881890361218e-06
is_holiday,1.0927090112457471e-05,-2.47881890361218e-06
capacity,-0.002476423488843888,-2.47881890361218e-06
is_operating,-0.0009301399770193584,-2.47881890361218e-06
commerce_pois_300m,-0.0001938830123976338,-2.47881890361218e-06
finance_pois_300m,-0.0005504843940336845,-2.47881890361218e-06
culture_pois_300m,0.00022139284021299366,-2.47881890361218e-06
education_pois_300m,-0.0005155977277125701,-2.47881890361218e-06
sport_recreation_pois_300m,-0.00018004225522126865,-2.47881890361218e-06
hotels_pois_300m,0.001319383113545157,-2.47881890361218e-06
food_pois_300m,0.0004016813335998916,-2.47881890361218e-06
health_pois_300m,-0.0001690528784224446,-2.47881890361218e-06
drink_pois_300m,0.00010338222478676935,-2.47881890361218e-06
transit_nearest_station_m,-0.0008400750271089837,-2.47881890361218e-06
transit_stations_300m,0.00047078731016224855,-2.47881890361218e-06
ids_population_300m,0.000395447051434792,-2.47881890361218e-06
ids_300m,-0.0017175235895124455,-2.47881890361218e-06
utm_x,0.00028243187949387896,-2.47881890361218e-06
utm_y,0.0024787681672387056,-2.47881890361218e-06
station_netflow_rate,0.025514578438758397,-2.47881890361218e-06
station_turnover_rate,0.0019331061134357124,-2.47881890361218e-06
temperature_2m,-0.0005037483306602981,-2.47881890361218e-06
rain,0.0005071762829319237,-2.47881890361218e-06
surface_pressure,0.0017046644244843915,-2.47881890361218e-06
cloud_cover,0.0001021387775324292,-2.47881890361218e-06
wind_speed_10m,0.0005002898809996649,-2.47881890361218e-06
relative_humidity_2m,0.0008564631375225858,-2.47881890361218e-06
