Feature,Coeficiente,Intercepto
ocu,-0.039257826076499525,-6.053723343684941e-06
ocu_lag_1,0.04592379430241372,-6.053723343684941e-06
ocu_lag_2,0.10269818250539416,-6.053723343684941e-06
ocu_lag_6,-0.01146997675433914,-6.053723343684941e-06
ocu_lag_12,-0.1441153494192146,-6.053723343684941e-06
ocu_lag_138,0.04914062454321926,-6.053723343684941e-06
ocu_lag_144,-0.033714565527077106,-6.053723343684941e-06
ocu_trend_1,0.01052609855862333,-6.053723343684941e-06
ocu_trend_2,0.029949900862667852,-6.053723343684941e-06
ocu_trend_6,-0.008736210593978184,-6.053723343684941e-06
ocu_trend_12,-0.1105211005847651,-6.053723343684941e-06
time_sin,-0.0004113949458810546,-6.053723343684941e-06
time_cos,-0.0002262261518694309,-6.053723343684941e-06
day_sin,-0.0004563498281518954,-6.053723343684941e-06
day_cos,2.5017466766337588e-05,-6.053723343684941e-06
is_weekend,0.0007072781270233812,-6.053723343684941e-06
is_holiday,-6.5821635281920555e-06,-6.053723343684941e-06
capacity,-0.0035207692540192943,-6.053723343684941e-06
is_operating,-0.0015636791711898688,-6.053723343684941e-06
commerce_pois_300m,-0.00022433092857934595,-6.053723343684941e-06
finance_pois_300m,-0.0007922287765924738,-6.053723343684941e-06
culture_pois_300m,0.00031157427213626557,-6.053723343684941e-06
education_pois_300m,-0.0007207352086001526,-6.053723343684941e-06
sport_recreation_pois_300m,-0.0003585453817739352,-6.053723343684941e-06
hotels_pois_300m,0.001695337124869543,-6.053723343684941e-06
food_pois_300m,0.00046337195857684184,-6.053723343684941e-06
health_pois_300m,-0.00026569205797197123,-6.053723343684941e-06
drink_pois_300m,0.00017919823084658378,-6.053723343684941e-06
transit_nearest_station_m,-0.0010375741492326474,-6.053723343684941e-06
transit_stations_300m,0.0007704972661666405,-6.053723343684941e-06
ids_population_300m,0.0005870374656453552,-6.053723343684941e-06
ids_300m,-0.002580957363720638,-6.053723343684941e-06
utm_x,0.0008116988071434651,-6.053723343684941e-06
utm_y,0.003730781121601809,-6.053723343684941e-06
station_netflow_rate,0.03281105950080772,-6.053723343684941e-06
station_turnover_rate,0.003163319881505938,-6.053723343684941e-06
temperature_2m,-0.0008800365274279346,-6.053723343684941e-06
rain,0.000725704918310055,-6.053723343684941e-06
surface_pressure,0.0026847192049558395,-6.053723343684941e-06
cloud_cover,0.0002889068342900845,-6.053723343684941e-06
wind_speed_10m,0.0009585008894408,-6.053723343684941e-06
relative_humidity_2m,0.001242293504399805,-6.053723343684941e-06
