Horizonte,MAE,RMSE,MAE_bikes,SS
20,0.042205293,0.074215606,1.0924034962391267,-0.016696378414829294
40,0.059667826,0.09845238,1.5482798177087238,0.045735166603396604
60,0.07156842,0.11447806,1.8606428893154943,0.08705631826347537
